,Age,Lower Value,Upper Value
0, 40-44 years,0.375241217391555,0.3777283506084449
1, 45-49 years,0.38419911346645863,0.38639938253354134
2, 50-54 years,0.41764793888511725,0.42381026311488273
3, 55-59 years,0.45078485655758904,0.4610557694424109
4, 60-64 years,0.49657778976970035,0.5101909222302996
5, 65-69 years,0.5360381359493477,0.5507359320506523
6, 70-74 years,0.5570838180158237,0.5737568799841761
7, 75-79 years,0.5688534115090189,0.5887488484909811
8,80+,0.5598151392495544,0.5742318487504455
9,85 +,0.5598151392495544,0.5742318487504455
