,Age,Lower Value,Upper Value
0, 40-44 years,0.43453218487427314,0.44404285912572694
1, 45-49 years,0.4709309102491837,0.48390422775081626
2, 50-54 years,0.5065813633165941,0.527119578683406
3, 55-59 years,0.5335873612585604,0.5600751947414395
4, 60-64 years,0.5622911551799428,0.5888350268200573
5, 65-69 years,0.5872746359911082,0.6108911360088919
6, 70-74 years,0.6252547934257278,0.6473910825742721
7, 75-79 years,0.6682831892341533,0.6912978287658468
8,80+,0.6603533410361242,0.6766167489638759
9,85 +,0.6603533410361242,0.6766167489638759
