,Age,Lower Value,Upper Value
0,40-44 years,0.00020626194093558372,0.0002103585162209783
1,45-49 years,0.0002574032876489623,0.00026318733129384973
2,50-54 years,0.0003812145935790649,0.0003891566384526851
3,55-59 years,0.0005443010331303279,0.000554420748651098
4,60-64 years,0.0010129653735028304,0.0010261143953095213
5,65-69 years,0.0016583323719838291,0.001678613488901679
6,70-74 years,0.0027438841220562855,0.002773189946591498
7,75-79 years,0.004026429337581498,0.004071594056677092
8,80-84 years,0.006411278222012425,0.006512022601197213
9,85 +,0.011137336508473684,0.011312344363922214
