,Age,Lower Value,Upper Value
0,40-44 years,0.0003244894436834458,0.00033002619957323416
1,45-49 years,0.00042695939920425166,0.00043439913997131646
2,50-54 years,0.0005682275728262604,0.0005793680781937118
3,55-59 years,0.0008337745463054593,0.0008487819851349808
4,60-64 years,0.0012244901545326206,0.0012453324853763995
5,65-69 years,0.0020288436601191566,0.002057592672045484
6,70-74 years,0.003113570547272442,0.003152509726717698
7,75-79 years,0.004573772309553388,0.004626106338911253
8,80-84 years,0.00652512509368801,0.006648176848470853
9,85 +,0.01120132657704972,0.011412562817184793
