,Unnamed: 0,Coverage,Compliance,Average Cost,Average DALYs,CVD Count,CVD Deaths,Total Deaths,Average HTN Cost,Average CVD Cost,Average Chronic Cost
0,0,0.16780409474106786,0.32057416267942584,551.2398851364798,7.129799115765568,3694,2682,8607,10.03445954121523,3.725119294846505,537.4803063004204
1,1,0.1702127659574468,0.33962264150943394,533.3189155852118,7.196747694834063,3647,2661,8634,10.83693915137266,3.53037061704394,518.9516058167957
2,2,0.1718185467683661,0.3107476635514019,539.0578131670122,6.978215701738456,3689,2668,8620,8.47372927157479,3.1125033649711837,527.4715805304677
3,3,0.18065034122842236,0.2866666666666667,548.1964180246307,7.146051498101827,3662,2658,8654,9.608415303849766,3.326896655289851,535.2611060654938
4,4,0.18707346447209955,0.3261802575107296,541.6283793608267,7.012470458358082,3656,2676,8606,9.73849180157668,3.335564817334633,528.5543227419166
5,5,0.18386190285026094,0.37117903930131,545.3315573944037,7.053943398297057,3640,2635,8607,10.477534867368986,3.431121871936125,531.4229006550999
6,6,0.18305901244480127,0.2960526315789473,541.9451767886164,7.004885949905153,3680,2671,8599,8.752758960890603,3.11200039893782,530.0804174287892
7,7,0.17623444399839422,0.3530751708428246,535.2356741202747,7.081728308077568,3606,2636,8630,9.887861445862107,3.7107027092925433,521.637109965122
8,8,0.17703733440385389,0.2925170068027211,526.7919160144544,6.968493249268216,3610,2607,8594,8.752639041787834,3.6004997143724515,514.4387772582946
9,9,0.15736651947009234,0.3035714285714285,537.2761331944779,7.001292016548646,3634,2620,8592,7.733272488680117,3.8733049128654127,525.6695557929335
10,10,0.17061421116017664,0.2823529411764706,552.9798193518972,7.114215631091375,3672,2675,8627,9.195087978106606,3.961553318432232,539.8231780553593
11,11,0.17944600562023286,0.2975391498881432,562.5389890077497,7.178282977393639,3761,2725,8627,10.466399572384848,4.396331695299148,547.6762577400676
12,12,0.17703733440385389,0.31519274376417233,548.5405626955953,7.032458263325112,3642,2631,8633,9.305130395119546,3.531601741798493,535.7038305586802
13,13,0.1774387796065837,0.29411764705882354,541.8170557962906,6.922656247738566,3667,2605,8605,8.638069340779568,2.915646424334292,530.2633400311793
14,14,0.17944600562023286,0.2930648769574944,539.0488686455021,7.145466206951247,3645,2650,8616,10.854260730228178,3.645276270444372,524.5493316448309
15,15,0.17784022480931352,0.2708803611738149,534.6248572875063,6.9573445926729525,3631,2636,8605,8.569891628784951,3.8288766722698866,522.2260889864518
16,16,0.1758329987956644,0.2831050228310502,532.4945815618589,7.099275712337363,3653,2695,8657,9.010762906906518,3.247575132876928,520.2362435220767
17,17,0.1774387796065837,0.28054298642533937,538.0372562284599,7.110971685768117,3628,2649,8648,9.414069277019626,3.5914963446524566,525.0316906067878
18,18,0.18225612203934166,0.3039647577092511,545.9129180129901,6.947254801130762,3667,2630,8617,9.345129573405606,3.2491107490787794,533.3186776905071
19,19,0.17703733440385389,0.3242630385487528,540.3164979776185,7.045247467376381,3664,2623,8635,9.262257279337513,3.6781548814944047,527.3760858167875
20,20,0.17944600562023286,0.31767337807606266,542.2799121302694,7.10625738230147,3656,2667,8646,10.06296315408092,4.096276362311453,528.1206726138779
21,21,0.17824167001204336,0.3220720720720721,556.5048428006278,7.050313906809418,3730,2707,8632,9.460417906252156,3.1577817692395667,543.8866431251387
22,22,0.1846647932557206,0.3065217391304348,555.848762943388,7.057529163570764,3653,2658,8627,9.470936913475374,3.900549118869284,542.4772769110444
23,23,0.1670012043356082,0.3004807692307692,536.0464035525898,7.083152414187365,3626,2658,8632,9.78656551973801,3.7211573399796474,522.5386806928741
24,24,0.1730228823765556,0.30162412993039445,542.2631445878405,7.044737813855164,3651,2655,8629,9.63019010143578,4.2629262403292545,528.3700282460767
25,25,0.1774387796065837,0.3031674208144796,541.1973403042356,7.005163779277444,3669,2678,8616,8.874233100976479,3.331112547244744,528.991994656013
26,26,0.17944600562023286,0.2706935123042505,536.9609812807264,7.116623723270355,3623,2625,8630,8.872792135792553,3.390429566284896,524.6977595786507
27,27,0.17824167001204336,0.31981981981981983,534.402340193721,7.1519799623275295,3612,2664,8629,10.07958062792128,3.7435319745477367,520.5792275912537
28,28,0.1714171015656363,0.3372365339578454,532.724024941045,7.001038789631765,3678,2694,8616,9.959757760965813,3.5279108938133845,519.2363562862662
29,29,0.17784022480931352,0.3340857787810384,527.6959560183062,6.982457531879353,3659,2658,8630,9.292795557707429,3.1637131598741486,515.2394473007262
30,30,0.17824167001204336,0.2927927927927928,541.2133667671816,6.911887661401387,3688,2681,8622,8.142153100033028,2.9440744091216624,530.127139258028
31,31,0.1613809714973906,0.2885572139303483,526.4464980653748,7.021765625180489,3622,2639,8613,8.185711278407517,4.004786391755027,514.2560003952125
32,32,0.1758329987956644,0.2808219178082192,537.3085088720757,6.996412901029612,3683,2655,8636,8.541108406305963,3.997239354610538,524.7701611111604
33,33,0.16499397832195906,0.30170316301703165,546.3721392722082,7.04811034491656,3685,2637,8616,8.75569924988561,3.271169288107828,534.3452707342157
34,34,0.15937374548374147,0.2795969773299748,521.6631351496148,7.056933537331644,3640,2648,8595,8.626925482106365,3.297395135224206,509.7388145322874
35,35,0.19108791649939785,0.3067226890756303,537.6155765803762,6.900148680460317,3699,2643,8619,7.869053183774443,2.983875151370962,526.7626482452317
36,36,0.17061421116017664,0.27294117647058824,545.0055047911452,7.034582010451057,3678,2683,8616,9.016357389670787,3.778409873719054,532.2107375277571
37,37,0.18225612203934166,0.3039647577092511,536.7627862012066,6.99438672722537,3661,2643,8623,8.909456301635784,3.8429667640128966,524.0103631355581
38,38,0.17422721798474508,0.2926267281105991,545.5228392096878,7.111737649967973,3676,2685,8654,9.969904766660084,3.6590048339282215,531.8939296091007
39,39,0.1818546768366118,0.25386313465783666,557.6353460215934,7.131247639579924,3726,2659,8626,10.091791118677042,3.954697295198296,543.5888576077202
40,40,0.19429947812123646,0.2892561983471074,535.5532137847375,6.958363406032372,3675,2636,8626,9.187650682119044,3.158641466085081,523.2069216365328
41,41,0.16298675230830992,0.3349753694581281,539.4268684097271,7.00028492659371,3644,2620,8604,8.749378490200852,3.403567031045744,527.2739228884823
42,42,0.16258530710558008,0.32839506172839505,551.7599606511641,7.084364951945705,3686,2668,8656,9.03805366907662,3.3470720711729216,539.374834910916
43,43,0.1802488960256925,0.29175946547884185,543.8624411913218,7.076394760646127,3655,2627,8593,9.217229100373793,3.4152721075779136,531.2299399833715
44,44,0.17503010839020475,0.3463302752293578,538.0108766080609,6.899588338534643,3684,2625,8592,8.998927112879398,3.3284962327713523,525.6834532624108
45,45,0.1702127659574468,0.294811320754717,534.9756921681363,7.0265288511782975,3687,2675,8644,8.98461469095317,3.475404408124163,522.5156730690599
46,46,0.17824167001204336,0.29504504504504503,547.690245299618,7.040359983494695,3744,2738,8642,9.782866823759072,3.299834940415643,534.6075435354438
47,47,0.17944600562023286,0.32662192393736017,534.4186624251171,6.936456001734397,3664,2673,8603,8.605547839388134,3.223843195875169,522.5892713898553
48,48,0.17262143717382578,0.3023255813953488,540.5764878191899,6.991129902998828,3674,2616,8616,8.119271314954982,3.2308489110081444,529.2263675932268
49,49,0.1718185467683661,0.3247663551401869,547.5473202424473,6.946474387233633,3696,2660,8621,9.172924429891351,3.111045537048709,535.2633502755086
50,50,0.181453231633882,0.2765486725663717,542.3398493063222,6.924061585617181,3709,2653,8606,8.09754619253037,3.1270131522960214,531.1152899614978
51,51,0.17422721798474508,0.31105990783410137,536.4436207726934,7.016531025839789,3688,2660,8650,8.727312631021508,3.31204082514825,524.404267316525
52,52,0.16178241670012045,0.3176178660049628,529.8969522242777,7.105100126924312,3634,2665,8629,8.642821918483952,3.8512723565953055,517.4028579492006
53,53,0.17462866318747491,0.30114942528735633,544.7516202067056,6.999242668290098,3643,2637,8640,8.477333465222129,3.7058450771726728,532.5684416643131
54,54,0.1734243275792854,0.2962962962962963,531.4719714560448,6.913909607580179,3669,2681,8618,7.443285546309792,3.2235733797539514,520.8051125299803
55,55,0.1850662384584504,0.3036876355748373,546.1994047987362,6.882420256093025,3700,2636,8596,8.030752429188707,3.284576056209205,534.8840763133397
56,56,0.17503010839020475,0.29357798165137616,547.1753874090284,6.976010099770896,3711,2696,8631,8.24344035580238,2.803401343669104,536.1285457095591
57,57,0.1818546768366118,0.35320088300220753,541.0917538336101,7.025122980074504,3658,2689,8655,9.284024831805313,3.3461798222116768,528.4615491795946
58,58,0.1802488960256925,0.2962138084632517,541.3639748574547,7.028338467134208,3708,2663,8612,8.834080052911839,4.264987688833652,528.2649071157099
