,Unnamed: 0,Coverage,Compliance,Average Cost,Average DALYs,CVD Count,CVD Deaths,Total Deaths,Average HTN Cost,Average CVD Cost,Average Chronic Cost
0,0,0.18694638694638693,0.2768079800498753,604.1996364596553,2.5603495718425555,2467,1319,4169,5.8881434728060595,4.3121875520219035,593.9993054348275
1,1,0.19393939393939394,0.2836538461538461,613.2484380798335,2.580869965777209,2514,1322,4131,6.1470960462846085,4.312358724589215,602.7889833089597
2,2,0.1850815850815851,0.2720403022670025,610.7692545723132,2.4600617023488667,2515,1339,4182,4.599782171664138,3.780663393772583,602.3888090068756
3,3,0.19114219114219114,0.3097560975609756,619.7614360183475,2.5695645767493067,2495,1320,4169,6.079868975826257,4.383948226278502,609.2976188162437
4,4,0.1836829836829837,0.27918781725888325,639.2182707487782,2.457972277196494,2576,1341,4161,5.23856970324569,4.055423386397356,629.9242776591333
5,5,0.20093240093240092,0.3294663573085847,612.3120668340197,2.4998673212390075,2498,1303,4154,5.6442523889283525,3.963827439739287,602.7039870053512
6,6,0.19347319347319347,0.27710843373493976,606.8708255765574,2.416338136636321,2484,1307,4133,4.886235579113373,3.5897811848201915,598.3948088126248
7,7,0.1804195804195804,0.31007751937984496,624.7657176649296,2.5332728903159305,2519,1327,4157,5.719012372994295,4.600064274468371,614.4466410174667
8,8,0.19487179487179487,0.3277511961722488,607.7525039380994,2.4543086838260817,2515,1333,4146,5.427084150919765,3.9660908585589247,598.3593289286202
9,9,0.1864801864801865,0.33,607.1828620847157,2.449851154581148,2496,1320,4110,5.137453864621142,3.5673908937008036,598.4780173263932
10,10,0.17902097902097902,0.3125,617.5569955937398,2.5260664150692915,2508,1337,4172,5.6341977175985125,4.04131970851214,607.8814781676289
11,11,0.1836829836829837,0.29949238578680204,618.1012744346423,2.5779913128043628,2491,1322,4152,5.85296286695868,4.332141410598531,607.916170157085
12,12,0.18834498834498836,0.2995049504950495,611.8097772610454,2.497812510775672,2499,1294,4131,5.5527372532188055,3.679232902480132,602.5778071053452
13,13,0.20466200466200465,0.3189066059225513,606.8332867661419,2.4384537400311905,2506,1329,4161,5.2126630132318565,3.643534344916316,597.9770894079928
14,14,0.19347319347319347,0.30843373493975906,605.0348984127148,2.5425505102949213,2469,1294,4129,6.0469078986602725,3.9995480444224887,594.9884424696331
15,15,0.1888111888111888,0.3160493827160494,617.2388788526882,2.457825240206412,2530,1327,4141,5.30462275933083,3.924764565273025,608.0094915280856
16,16,0.20372960372960366,0.3203661327231121,626.7253601679331,2.507075817128606,2520,1317,4148,5.207794362647324,4.044150083577413,617.4734157217077
17,17,0.18135198135198136,0.2930591259640103,616.9391356520316,2.510563366329058,2540,1329,4124,4.847150023599158,4.414174847836733,607.6778107805944
18,18,0.1902097902097902,0.3553921568627451,600.8727279625773,2.440442144585795,2491,1333,4155,5.2172052780265545,3.6328107887946004,592.0227118957566
19,19,0.1832167832167832,0.2977099236641221,619.1532046956153,2.4584787495772344,2507,1316,4154,4.606221451197835,3.921659701975773,610.6253235424414
20,20,0.193006993006993,0.30676328502415456,610.8660039095796,2.513311031581769,2510,1326,4168,5.5828435398562455,3.4499514019175046,601.8332089678066
21,21,0.2041958041958042,0.2922374429223744,613.1382970097014,2.465952044887208,2496,1338,4166,5.568867174774471,3.6558741887345065,603.9135556461932
22,22,0.20466200466200465,0.3553530751708428,607.2920086408785,2.4862263622111023,2497,1309,4138,6.0598405082263165,3.8322583492940026,597.3999097833566
23,23,0.1953379953379953,0.3269689737470167,617.589684340844,2.469394727915213,2513,1305,4123,5.760914858034424,4.1016467719403265,607.7271227108697
24,24,0.1902097902097902,0.2720588235294117,612.9023792175254,2.468857327893911,2485,1327,4176,5.470102002726206,4.210699647285652,603.2215775675129
25,25,0.1888111888111888,0.32592592592592595,602.5792117708822,2.4501257061456534,2503,1311,4148,5.122548305087227,3.9036330651626185,593.553030400634
26,26,0.1804195804195804,0.28940568475452194,616.5835388058366,2.5180610853186187,2520,1331,4145,5.0703206273202985,3.9389348105225648,607.5742833679948
27,27,0.1874125874125874,0.3358208955223881,602.6362941607321,2.554009516906249,2480,1340,4153,5.741603403092975,3.795656031801904,593.0990347258378
28,28,0.20233100233100232,0.2903225806451613,602.3644797131187,2.4497800457660954,2478,1318,4154,5.3896295619543055,4.027546053404548,592.9473040977603
29,29,0.1850815850815851,0.2795969773299748,623.4093092599528,2.4430400075147336,2518,1337,4168,4.96131555740396,3.4673081118101603,614.9806855907373
30,30,0.20326340326340325,0.2889908256880734,617.4165357567953,2.381440855751937,2524,1314,4143,4.53364740095211,3.936609825683114,608.9462785301604
